,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15614,22985168,Delightful condo,71733378,Abe,Queens,Astoria,40.76466,-73.92882,Entire home/apt,10000,72,26,2019-10-26,0.6,1,88,0,
19746,31219800,~New jersey loft,172226912,Rom,Manhattan,Murray Hill,40.74931,-73.9783,Shared room,10000,40,11,2019-06-25,0.35,1,180,0,
24092,39574087,"The Allen Hotel, Deluxe Penthouse King Suite",266741420,The Allen Hotel,Manhattan,Lower East Side,40.71918,-73.99123,Private room,10000,1,0,,,5,365,0,
10155,13925864,Puerto Plata,58480311,Raquel-Ast,Queens,Long Island City,40.76128,-73.93141,Entire home/apt,10000,30,28,2017-11-14,0.45,1,0,0,
23724,39100961,"Chambers Hotel, Chambers Hotel Queen - ADA",220229838,Chamber Hotel,Manhattan,Midtown,40.76387,-73.97653,Private room,10000,30,0,,,11,345,0,
15339,22436899,1-BR Lincoln Center,72390391,Jelena,Manhattan,Upper West Side,40.77184,-73.98835,Entire home/apt,10000,30,0,,,1,0,0,
26627,43021419,UES apartment,240853514,Nathan,Manhattan,Upper East Side,40.77357,-73.95748,Entire home/apt,9999,30,1,2020-05-31,0.06,1,0,0,
20781,33622378,Redford King,257565053,The Redford,Manhattan,Lower East Side,40.72031,-73.98813,Private room,9999,30,48,2020-08-17,2.18,3,359,0,
20780,33622308,Redford Double,257565053,The Redford,Manhattan,Lower East Side,40.72031,-73.98813,Private room,9999,30,22,2020-02-17,0.99,3,359,0,
20778,33621795,Redford Queen,257565053,The Redford,Manhattan,Lower East Side,40.72031,-73.98813,Private room,9999,30,49,2020-10-06,2.15,3,359,0,
26880,43310215,The Compound,10581418,Frank,Brooklyn,Williamsburg,40.71494,-73.9447,Private room,9999,1,19,2021-09-16,10.56,1,335,19,
3724,4737930,Spanish Harlem Apt,1235070,Olson,Manhattan,East Harlem,40.79435,-73.93893,Entire home/apt,9999,30,1,2015-01-02,0.01,1,0,0,
3352,4308991,Sunny Room with Private Bathroom in Great Location,6195809,Dean,Manhattan,East Village,40.7248,-73.98951,Private room,9990,30,9,2016-06-13,0.13,1,0,0,
13745,20464496,LaRoom,49519069,Kosta,Queens,Briarwood,40.70911,-73.81756,Private room,9000,30,0,,,1,0,0,
7121,9528920,"Quiet, Clean, Lit @ LES & Chinatown",3906464,Amy,Manhattan,Lower East Side,40.71302,-73.98573,Private room,7314,99,6,2016-01-01,0.08,1,83,0,
11412,16330110,Stylish & Spacious Apartment,105075484,Bertus,Brooklyn,Canarsie,40.63292,-73.90933,Entire home/apt,7184,30,108,2020-07-11,2.04,1,277,0,
17968,28135545,Stanton Place,57205301,Desireé,Manhattan,Lower East Side,40.72031,-73.98488,Private room,7000,30,0,,,1,0,0,
22100,36056808,Luxury TriBeCa Apartment at an amazing price,271248669,Jenny,Manhattan,Tribeca,40.71168,-74.0084,Entire home/apt,6500,180,0,,,1,365,0,
2132,2271504,SUPER BOWL Brooklyn Duplex Apt!!,11598359,Jonathan,Brooklyn,Clinton Hill,40.68799,-73.9652,Entire home/apt,6500,30,0,,,1,0,0,
13874,20654227,Fulton 2,100069033,Sarah-2,Brooklyn,Cypress Hills,40.68311,-73.87951,Entire home/apt,6429,30,4,2017-09-11,0.08,1,90,0,
14265,21238053,Broadway 1,153497815,Sarah-B,Brooklyn,Bedford-Stuyvesant,40.68678,-73.91753,Entire home/apt,6143,30,8,2017-12-09,0.16,1,90,0,
